,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
0,iría,irías,iría,iríamos,iríais,irían
1,sería,serías,sería,seríamos,seríais,serían
2,tendría,tendrías,tendría,tendríamos,tendríais,tendrían
3,haría,harías,haría,haríamos,haríais,harían
4,estaría,estarías,estaría,estaríamos,estaríais,estarían
5,diría,dirías,diría,diríamos,diríais,dirían
6,vería,verías,vería,veríamos,veríais,verían
7,habría,habrías,habría,habríamos,habríais,habrían
8,daría,darías,daría,daríamos,daríais,darían
9,podría,podrías,podría,podríamos,podríais,podrían
10,hablaría,hablarías,hablaría,hablaríamos,hablaríais,hablarían
11,querría,querrías,querría,querríamos,querríais,querrían
12,vendría,vendrías,vendría,vendríamos,vendríais,vendrían
13,comería,comerías,comería,comeríamos,comeríais,comerían
14,sabría,sabrías,sabría,sabríamos,sabríais,sabrían
15,pondría,pondrías,pondría,pondríamos,pondríais,pondrían
16,saldría,saldrías,saldría,saldríamos,saldríais,saldrían
17,leería,leerías,leería,leeríamos,leeríais,leerían
18,dormiría,dormirías,dormiría,dormiríamos,dormiríais,dormirían
19,volvería,volverías,volvería,volveríamos,volveríais,volverían
20,pediría,pedirías,pediría,pediríamos,pediríais,pedirían
21,viviría,vivirías,viviría,viviríamos,viviríais,vivirían
22,traería,traerías,traería,traeríamos,traeríais,traerían
23,llevaría,llevarías,llevaría,llevaríamos,llevaríais,llevarían
24,jugaría,jugarías,jugaría,jugaríamos,jugaríais,jugarían
25,llegaría,llegarías,llegaría,llegaríamos,llegaríais,llegarían
26,oiría,oirías,oiría,oiríamos,oiríais,oirían
27,tomaría,tomarías,tomaría,tomaríamos,tomaríais,tomarían
28,empezaría,empezarías,empezaría,empezaríamos,empezaríais,empezarían
29,conocería,conocerías,conocería,conoceríamos,conoceríais,conocerían
30,seguiría,seguirías,seguiría,seguiríamos,seguiríais,seguirían
31,escribiría,escribirías,escribiría,escribiríamos,escribiríais,escribirían
32,compraría,comprarías,compraría,compraríamos,compraríais,comprarían
33,sentiría,sentirías,sentiría,sentiríamos,sentiríais,sentirían
34,pensaría,pensarías,pensaría,pensaríamos,pensaríais,pensarían
35,bebería,beberías,bebería,beberíamos,beberíais,beberían
36,abriría,abrirías,abriría,abriríamos,abriríais,abrirían
37,gustaría,gustarías,gustaría,gustaríamos,gustaríais,gustarían
38,quejaría,quejarías,quejaría,quejaríamos,quejaríais,quejarían
39,caería,caerías,caería,caeríamos,caeríais,caerían
40,cerraría,cerrarías,cerraría,cerraríamos,cerraríais,cerrarían
41,encontraría,encontrarías,encontraría,encontraríamos,encontraríais,encontrarían
42,creería,creerías,creería,creeríamos,creeríais,creerían
43,perdería,perderías,perdería,perderíamos,perderíais,perderían
44,preferiría,preferirías,preferiría,preferiríamos,preferiríais,preferirían
45,quedaría,quedarías,quedaría,quedaríamos,quedaríais,quedarían
46,moriría,morirías,moriría,moriríamos,moriríais,morirían
47,serviría,servirías,serviría,serviríamos,serviríais,servirían
48,buscaría,buscarías,buscaría,buscaríamos,buscaríais,buscarían
49,trabajaría,trabajarías,trabajaría,trabajaríamos,trabajaríais,trabajarían
50,estudiaría,estudiarías,estudiaría,estudiaríamos,estudiaríais,estudiarían
51,sentaría,sentarías,sentaría,sentaríamos,sentaríais,sentarían
52,comenzaría,comenzarías,comenzaría,comenzaríamos,comenzaríais,comenzarían
53,conduciría,conducirías,conduciría,conduciríamos,conduciríais,conducirían
54,iría,irías,iría,iríamos,iríais,irían
55,sacaría,sacarías,sacaría,sacaríamos,sacaríais,sacarían
56,aprendería,aprenderías,aprendería,aprenderíamos,aprenderíais,aprenderían
57,limpiaría,limpiarías,limpiaría,limpiaríamos,limpiaríais,limpiarían
58,llamaría,llamarías,llamaría,llamaríamos,llamaríais,llamarían
59,pagaría,pagarías,pagaría,pagaríamos,pagaríais,pagarían
60,correría,correrías,correría,correríamos,correríais,correrían
61,bailaría,bailarías,bailaría,bailaríamos,bailaríais,bailarían
62,terminaría,terminarías,terminaría,terminaríamos,terminaríais,terminarían
63,pasaría,pasarías,pasaría,pasaríamos,pasaríais,pasarían
64,dejaría,dejarías,dejaría,dejaríamos,dejaríais,dejarían
65,andaría,andarías,andaría,andaríamos,andaríais,andarían
66,entendería,entenderías,entendería,entenderíamos,entenderíais,entenderían
67,vestiría,vestirías,vestiría,vestiríamos,vestiríais,vestirían
68,visitaría,visitarías,visitaría,visitaríamos,visitaríais,visitarían
69,almorzaría,almorzarías,almorzaría,almorzaríamos,almorzaríais,almorzarían
70,llovería,lloverías,llovería,lloveríamos,lloveríais,lloverían
71,divertiría,divertirías,divertiría,divertiríamos,divertiríais,divertirían
72,conseguiría,conseguirías,conseguiría,conseguiríamos,conseguiríais,conseguirían
73,repetiría,repetirías,repetiría,repetiríamos,repetiríais,repetirían
74,caminaría,caminarías,caminaría,caminaríamos,caminaríais,caminarían
75,esperaría,esperarías,esperaría,esperaríamos,esperaríais,esperarían
76,cambiaría,cambiarías,cambiaría,cambiaríamos,cambiaríais,cambiarían
77,elegiría,elegirías,elegiría,elegiríamos,elegiríais,elegirían
78,tocaría,tocarías,tocaría,tocaríamos,tocaríais,tocarían
79,miraría,mirarías,miraría,miraríamos,miraríais,mirarían
80,cabría,cabrías,cabría,cabríamos,cabríais,cabrían
81,debería,deberías,debería,deberíamos,deberíais,deberían
82,recibiría,recibirías,recibiría,recibiríamos,recibiríais,recibirían
83,acostaría,acostarías,acostaría,acostaríamos,acostaríais,acostarían
84,levantaría,levantarías,levantaría,levantaríamos,levantaríais,levantarían
85,movería,moverías,movería,moveríamos,moveríais,moverían
86,cantaría,cantarías,cantaría,cantaríamos,cantaríais,cantarían
87,ayudaría,ayudarías,ayudaría,ayudaríamos,ayudaríais,ayudarían
88,contaría,contarías,contaría,contaríamos,contaríais,contarían
89,vendería,venderías,vendería,venderíamos,venderíais,venderían
90,herviría,hervirías,herviría,herviríamos,herviríais,hervirían
91,ganaría,ganarías,ganaría,ganaríamos,ganaríais,ganarían
92,viajaría,viajarías,viajaría,viajaríamos,viajaríais,viajarían
93,escucharía,escucharías,escucharía,escucharíamos,escucharíais,escucharían
94,cogería,cogerías,cogería,cogeríamos,cogeríais,cogerían
95,necesitaría,necesitarías,necesitaría,necesitaríamos,necesitaríais,necesitarían
96,despertaría,despertarías,despertaría,despertaríamos,despertaríais,despertarían
97,recordaría,recordarías,recordaría,recordaríamos,recordaríais,recordarían
98,desearía,desearías,desearía,desearíamos,desearíais,desearían
99,huiría,huirías,huiría,huiríamos,huiríais,huirían
100,decidiría,decidirías,decidiría,decidiríamos,decidiríais,decidirían
101,lavaría,lavarías,lavaría,lavaríamos,lavaríais,lavarían
102,subiría,subirías,subiría,subiríamos,subiríais,subirían
103,parecería,parecerías,parecería,pareceríamos,pareceríais,parecerían
104,practicaría,practicarías,practicaría,practicaríamos,practicaríais,practicarían
105,nadaría,nadarías,nadaría,nadaríamos,nadaríais,nadarían
106,despediría,despedirías,despediría,despediríamos,despediríais,despedirían
107,traduciría,traducirías,traduciría,traduciríamos,traduciríais,traducirían
108,sonreiría,sonreirías,sonreiría,sonreiríamos,sonreiríais,sonreirían
109,mentiría,mentirías,mentiría,mentiríamos,mentiríais,mentirían
110,heriría,herirías,heriría,heriríamos,heriríais,herirían
111,usaría,usarías,usaría,usaríamos,usaríais,usarían
112,casaría,casarías,casaría,casaríamos,casaríais,casarían
113,sugeriría,sugerirías,sugeriría,sugeriríamos,sugeriríais,sugerirían
114,desayunaría,desayunarías,desayunaría,desayunaríamos,desayunaríais,desayunarían
115,ofrecería,ofrecerías,ofrecería,ofreceríamos,ofreceríais,ofrecerían
116,rompería,romperías,rompería,romperíamos,romperíais,romperían
117,hackearía,hackearías,hackearía,hackearíamos,hackearíais,hackearían
118,devolvería,devolverías,devolvería,devolveríamos,devolveríais,devolverían
119,cubriría,cubrirías,cubriría,cubriríamos,cubriríais,cubrirían
120,olería,olerías,olería,oleríamos,oleríais,olerían
121,mantendría,mantendrías,mantendría,mantendríamos,mantendríais,mantendrían
122,mandaría,mandarías,mandaría,mandaríamos,mandaríais,mandarían
123,construiría,construirías,construiría,construiríamos,construiríais,construirían
124,nacería,nacerías,nacería,naceríamos,naceríais,nacerían
125,comprendería,comprenderías,comprendería,comprenderíamos,comprenderíais,comprenderían
126,permitiría,permitirías,permitiría,permitiríamos,permitiríais,permitirían
127,olvidaría,olvidarías,olvidaría,olvidaríamos,olvidaríais,olvidarían
128,abanderaría,abanderarías,abanderaría,abanderaríamos,abanderaríais,abanderarían
129,recomendaría,recomendarías,recomendaría,recomendaríamos,recomendaríais,recomendarían
130,asistiría,asistirías,asistiría,asistiríamos,asistiríais,asistirían
131,costaría,costarías,costaría,costaríamos,costaríais,costarían
132,enviaría,enviarías,enviaría,enviaríamos,enviaríais,enviarían
133,prepararía,prepararías,prepararía,prepararíamos,prepararíais,prepararían
134,cocinaría,cocinarías,cocinaría,cocinaríamos,cocinaríais,cocinarían
135,compartiría,compartirías,compartiría,compartiríamos,compartiríais,compartirían
136,preguntaría,preguntarías,preguntaría,preguntaríamos,preguntaríais,preguntarían
137,cuidaría,cuidarías,cuidaría,cuidaríamos,cuidaríais,cuidarían
138,resolvería,resolverías,resolvería,resolveríamos,resolveríais,resolverían
139,callaría,callarías,callaría,callaríamos,callaríais,callarían
140,recogería,recogerías,recogería,recogeríamos,recogeríais,recogerían
141,mostraría,mostrarías,mostraría,mostraríamos,mostraríais,mostrarían
142,helaría,helarías,helaría,helaríamos,helaríais,helarían
143,rogaría,rogarías,rogaría,rogaríamos,rogaríais,rogarían
144,crecería,crecerías,crecería,creceríamos,creceríais,crecerían
145,henchiría,henchirías,henchiría,henchiríamos,henchiríais,henchirían
146,habituaría,habituarías,habituaría,habituaríamos,habituaríais,habituarían
147,amaría,amarías,amaría,amaríamos,amaríais,amarían
148,sonaría,sonarías,sonaría,sonaríamos,sonaríais,sonarían
149,escogería,escogerías,escogería,escogeríamos,escogeríais,escogerían
150,dolería,dolerías,dolería,doleríamos,doleríais,dolerían
151,exigiría,exigirías,exigiría,exigiríamos,exigiríais,exigirían
152,entraría,entrarías,entraría,entraríamos,entraríais,entrarían
153,volaría,volarías,volaría,volaríamos,volaríais,volarían
154,explicaría,explicarías,explicaría,explicaríamos,explicaríais,explicarían
155,destruiría,destruirías,destruiría,destruiríamos,destruiríais,destruirían
156,navegaría,navegarías,navegaría,navegaríamos,navegaríais,navegarían
157,lloraría,llorarías,lloraría,lloraríamos,lloraríais,llorarían
158,valdría,valdrías,valdría,valdríamos,valdríais,valdrían
159,apagaría,apagarías,apagaría,apagaríamos,apagaríais,apagarían
160,probaría,probarías,probaría,probaríamos,probaríais,probarían
161,halagaría,halagarías,halagaría,halagaríamos,halagaríais,halagarían
162,manejaría,manejarías,manejaría,manejaríamos,manejaríais,manejarían
163,cortaría,cortarías,cortaría,cortaríamos,cortaríais,cortarían
164,obtendría,obtendrías,obtendría,obtendríamos,obtendríais,obtendrían
165,gozaría,gozarías,gozaría,gozaríamos,gozaríais,gozarían
166,hartaría,hartarías,hartaría,hartaríamos,hartaríais,hartarían
167,sufriría,sufrirías,sufriría,sufriríamos,sufriríais,sufrirían
168,incluiría,incluirías,incluiría,incluiríamos,incluiríais,incluirían
169,habilitaría,habilitarías,habilitaría,habilitaríamos,habilitaríais,habilitarían
170,aburriría,aburrirías,aburriría,aburriríamos,aburriríais,aburrirían
171,habitaría,habitarías,habitaría,habitaríamos,habitaríais,habitarían
172,echaría,echarías,echaría,echaríamos,echaríais,echarían
173,regresaría,regresarías,regresaría,regresaríamos,regresaríais,regresarían
174,corregiría,corregirías,corregiría,corregiríamos,corregiríais,corregirían
175,prestaría,prestarías,prestaría,prestaríamos,prestaríais,prestarían
176,barrería,barrerías,barrería,barreríamos,barreríais,barrerían
177,hacendaría,hacendarías,hacendaría,hacendaríamos,hacendaríais,hacendarían
178,secaría,secarías,secaría,secaríamos,secaríais,secarían
