,Slowo,Tlumaczenie
0,ir,to go 
1,ser,to be 
2,tener,to have 
3,hacer,to make / do 
4,estar,to be 
5,decir,to say / tell 
6,ver,to see 
7,haber,to have 
8,dar,to give 
9,poder,to be able to 
10,hablar,to speak 
11,querer,to want /like 
12,venir,to come 
13,comer,to eat 
14,saber,to know 
15,poner,to put 
16,salir,to leave/ go out 
17,leer,to read 
18,dormir,to sleep 
19,volver,to return 
20,pedir,to ask / ask for 
21,vivir,to live 
22,traer,to bring 
23,llevar,to take / carry / wear 
24,jugar,to play 
25,llegar,to arrive 
26,oir,to hear 
27,tomar,to take 
28,empezar,to begin/start 
29,conocer,to know 
30,seguir,to follow 
31,escribir,to write 
32,comprar,to buy 
33,sentir,to feel 
34,pensar,to think 
35,beber,to drink 
36,abrir,to open 
37,gustar,to like 
38,quejar,to complain 
39,caer,to fall 
40,cerrar,to close 
41,encontrar,to find/encounter 
42,creer,to think / believe 
43,perder,to lose 
44,preferir,to prefer 
45,quedar,to meet /stay 
46,morir,to die 
47,servir,to serve 
48,buscar,to look for 
49,trabajar,to work 
50,estudiar,to study 
51,sentar,to sit/seat 
52,comenzar,to start/begin 
53,conducir,to drive 
54,reir,to laugh 
55,sacar,to take out 
56,aprender,to learn 
57,limpiar,to clean 
58,llamar,to call /call oneself 
59,pagar,to pay 
60,correr,to run 
61,bailar,to dance 
62,terminar,to finish / end 
63,pasar,to pass 
64,dejar,to lend / borrow/ leave 
65,andar,to walk 
66,entender,to understand 
67,vestir,to dress 
68,visitar,to visit 
69,almorzar,to have lunch 
70,llover,to rain 
71,divertir,to entertain/amuse 
72,conseguir,to obtain 
73,repetir,to repeat 
74,caminar,to walk 
75,esperar,to wait / hope 
76,cambiar,to change 
77,elegir,to choose 
78,tocar,to touch/play an instrument 
79,mirar,to watch /look at 
80,caber,to fit 
81,deber,to must 
82,recibir,to receive 
83,acostar,to go to bed 
84,levantar,to raise 
85,mover,to move 
86,cantar,to sing 
87,ayudar,to help 
88,contar,to count/tell 
89,vender,to sell 
90,hervir,to boil 
91,ganar,to win / earn
92,viajar,to travel 
93,escuchar,to listen 
94,coger,to pick up / take / catch 
95,necesitar,to need 
96,despertar,to wake/arouse 
97,recordar,to remember 
98,desear,to wish 
99,huir,to escape 
100,decidir,to decide 
101,lavar,to wash 
102,subir,to go / come up 
103,parecer,to look like / seem 
104,practicar,to practise 
105,nadar,to swim 
106,despedir,to say goodbye 
107,traducir,to translate 
108,sonreir,to smile 
109,mentir,to lie 
110,herir,to hurt 
111,usar,to use 
112,casar,to marry / get married 
113,sugerir,to suggest 
114,desayunar,to have breakfast 
