,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
0,voy,vas,va,vamos,vais,van
1,soy,eres / sos,es,somos,sois,son
2,tengo,tienes / tenés,tiene,tenemos,tenéis,tienen
3,hago,haces / hacés,hace,hacemos,hacéis,hacen
4,estoy,estás,está,estamos,estáis,están
5,digo,dices / decís,dice,decimos,decís,dicen
6,veo,ves,ve,vemos,veis,ven
7,he,has,ha (impersonal: hay),hemos,habéis,han
8,doy,das,da,damos,dais,dan
9,puedo,puedes / podés,puede,podemos,podéis,pueden
10,hablo,hablas / hablás,habla,hablamos,habláis,hablan
11,quiero,quieres / querés,quiere,queremos,queréis,quieren
12,vengo,vienes / venís,viene,venimos,venís,vienen
13,como,comes / comés,come,comemos,coméis,comen
14,sé,sabes / sabés,sabe,sabemos,sabéis,saben
15,pongo,pones / ponés,pone,ponemos,ponéis,ponen
16,salgo,sales / salís,sale,salimos,salís,salen
17,leo,lees / leés,lee,leemos,leéis,leen
18,duermo,duermes / dormís,duerme,dormimos,dormís,duermen
19,vuelvo,vuelves / volvés,vuelve,volvemos,volvéis,vuelven
20,pido,pides / pedís,pide,pedimos,pedís,piden
21,vivo,vives / vivís,vive,vivimos,vivís,viven
22,traigo,traes / traés,trae,traemos,traéis,traen
23,llevo,llevas / llevás,lleva,llevamos,lleváis,llevan
24,juego,juegas / jugás,juega,jugamos,jugáis,juegan
25,llego,llegas / llegás,llega,llegamos,llegáis,llegan
26,oigo,oyes / oís,oye,oímos,oís,oyen
27,tomo,tomas / tomás,toma,tomamos,tomáis,toman
28,empiezo,empiezas / empezás,empieza,empezamos,empezáis,empiezan
29,conozco,conoces / conocés,conoce,conocemos,conocéis,conocen
30,sigo,sigues / seguís,sigue,seguimos,seguís,siguen
31,escribo,escribes / escribís,escribe,escribimos,escribís,escriben
32,compro,compras / comprás,compra,compramos,compráis,compran
33,siento,sientes / sentís,siente,sentimos,sentís,sienten
34,pienso,piensas / pensás,piensa,pensamos,pensáis,piensan
35,bebo,bebes / bebés,bebe,bebemos,bebéis,beben
36,abro,abres / abrís,abre,abrimos,abrís,abren
37,gusto,gustas / gustás,gusta,gustamos,gustáis,gustan
38,quejo,quejas / quejás,queja,quejamos,quejáis,quejan
39,caigo,caes / caés,cae,caemos,caéis,caen
40,cierro,cierras / cerrás,cierra,cerramos,cerráis,cierran
41,encuentro,encuentras / encontrás,encuentra,encontramos,encontráis,encuentran
42,creo,crees / creés,cree,creemos,creéis,creen
43,pierdo,pierdes / perdés,pierde,perdemos,perdéis,pierden
44,prefiero,prefieres / preferís,prefiere,preferimos,preferís,prefieren
45,quedo,quedas / quedás,queda,quedamos,quedáis,quedan
46,muero,mueres / morís,muere,morimos,morís,mueren
47,sirvo,sirves / servís,sirve,servimos,servís,sirven
48,busco,buscas / buscás,busca,buscamos,buscáis,buscan
49,trabajo,trabajas / trabajás,trabaja,trabajamos,trabajáis,trabajan
50,estudio,estudias / estudiás,estudia,estudiamos,estudiáis,estudian
51,siento,sientas / sentás,sienta,sentamos,sentáis,sientan
52,comienzo,comienzas / comenzás,comienza,comenzamos,comenzáis,comienzan
53,conduzco,conduces / conducís,conduce,conducimos,conducís,conducen
54,voy,vas,va,vamos,vais,van
55,saco,sacas / sacás,saca,sacamos,sacáis,sacan
56,aprendo,aprendes / aprendés,aprende,aprendemos,aprendéis,aprenden
57,limpio,limpias / limpiás,limpia,limpiamos,limpiáis,limpian
58,llamo,llamas / llamás,llama,llamamos,llamáis,llaman
59,pago,pagas / pagás,paga,pagamos,pagáis,pagan
60,corro,corres / corrés,corre,corremos,corréis,corren
61,bailo,bailas / bailás,baila,bailamos,bailáis,bailan
62,termino,terminas / terminás,termina,terminamos,termináis,terminan
63,paso,pasas / pasás,pasa,pasamos,pasáis,pasan
64,dejo,dejas / dejás,deja,dejamos,dejáis,dejan
65,ando,andas / andás,anda,andamos,andáis,andan
66,entiendo,entiendes / entendés,entiende,entendemos,entendéis,entienden
67,visto,vistes / vestís,viste,vestimos,vestís,visten
68,visito,visitas / visitás,visita,visitamos,visitáis,visitan
69,almuerzo,almuerzas / almorzás,almuerza,almorzamos,almorzáis,almuerzan
70,lluevo,llueves / llovés,llueve,llovemos,llovéis,llueven
71,divierto,diviertes / divertís,divierte,divertimos,divertís,divierten
72,consigo,consigues / conseguís,consigue,conseguimos,conseguís,consiguen
73,repito,repites / repetís,repite,repetimos,repetís,repiten
74,camino,caminas / caminás,camina,caminamos,camináis,caminan
75,espero,esperas / esperás,espera,esperamos,esperáis,esperan
76,cambio,cambias / cambiás,cambia,cambiamos,cambiáis,cambian
77,elijo,eliges / elegís,elige,elegimos,elegís,eligen
78,toco,tocas / tocás,toca,tocamos,tocáis,tocan
79,miro,miras / mirás,mira,miramos,miráis,miran
80,quepo,cabes / cabés,cabe,cabemos,cabéis,caben
81,debo,debes / debés,debe,debemos,debéis,deben
82,recibo,recibes / recibís,recibe,recibimos,recibís,reciben
83,acuesto o acosto,acuestas o acostas / acostás,acuesta o acosta,acostamos,acostáis,acuestan o acostan
84,levanto,levantas / levantás,levanta,levantamos,levantáis,levantan
85,muevo,mueves / movés,mueve,movemos,movéis,mueven
86,canto,cantas / cantás,canta,cantamos,cantáis,cantan
87,ayudo,ayudas / ayudás,ayuda,ayudamos,ayudáis,ayudan
88,cuento,cuentas / contás,cuenta,contamos,contáis,cuentan
89,vendo,vendes / vendés,vende,vendemos,vendéis,venden
90,hiervo,hierves / hervís,hierve,hervimos,hervís,hierven
91,gano,ganas / ganás,gana,ganamos,ganáis,ganan
92,viajo,viajas / viajás,viaja,viajamos,viajáis,viajan
93,escucho,escuchas / escuchás,escucha,escuchamos,escucháis,escuchan
94,cojo,coges / cogés,coge,cogemos,cogéis,cogen
95,necesito,necesitas / necesitás,necesita,necesitamos,necesitáis,necesitan
96,despierto,despiertas / despertás,despierta,despertamos,despertáis,despiertan
97,recuerdo,recuerdas / recordás,recuerda,recordamos,recordáis,recuerdan
98,deseo,deseas / deseás,desea,deseamos,deseáis,desean
99,huyo,huyes / huis,huye,huimos,huis,huyen
100,decido,decides / decidís,decide,decidimos,decidís,deciden
101,lavo,lavas / lavás,lava,lavamos,laváis,lavan
102,subo,subes / subís,sube,subimos,subís,suben
103,parezco,pareces / parecés,parece,parecemos,parecéis,parecen
104,practico,practicas / practicás,practica,practicamos,practicáis,practican
105,nado,nadas / nadás,nada,nadamos,nadáis,nadan
106,despido,despides / despedís,despide,despedimos,despedís,despiden
107,traduzco,traduces / traducís,traduce,traducimos,traducís,traducen
108,sonrío,sonríes / sonreís,sonríe,sonreímos,sonreís,sonríen
109,miento,mientes / mentís,miente,mentimos,mentís,mienten
110,hiero,hieres / herís,hiere,herimos,herís,hieren
111,uso,usas / usás,usa,usamos,usáis,usan
112,caso,casas / casás,casa,casamos,casáis,casan
113,sugiero,sugieres / sugerís,sugiere,sugerimos,sugerís,sugieren
114,desayuno,desayunas / desayunás,desayuna,desayunamos,desayunáis,desayunan
115,ofrezco,ofreces / ofrecés,ofrece,ofrecemos,ofrecéis,ofrecen
116,rompo,rompes / rompés,rompe,rompemos,rompéis,rompen
117,hackeo,hackeas / hackeás,hackea,hackeamos,hackeáis,hackean
118,devuelvo,devuelves / devolvés,devuelve,devolvemos,devolvéis,devuelven
119,cubro,cubres / cubrís,cubre,cubrimos,cubrís,cubren
120,huelo,hueles / olés,huele,olemos,oléis,huelen
121,mantengo,mantienes / mantenés,mantiene,mantenemos,mantenéis,mantienen
122,mando,mandas / mandás,manda,mandamos,mandáis,mandan
123,construyo,construyes / construís,construye,construimos,construís,construyen
