,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
0,fuere,fueres,fuere,fuéremos,fuereis,fueren
1,fuere,fueres,fuere,fuéremos,fuereis,fueren
2,tuviere,tuvieres,tuviere,tuviéremos,tuviereis,tuvieren
3,hiciere,hicieres,hiciere,hiciéremos,hiciereis,hicieren
4,estuviere,estuvieres,estuviere,estuviéremos,estuviereis,estuvieren
5,dijere,dijeres,dijere,dijéremos,dijereis,dijeren
6,viere,vieres,viere,viéremos,viereis,vieren
7,hubiere,hubieres,hubiere,hubiéremos,hubiereis,hubieren
8,diere,dieres,diere,diéremos,diereis,dieren
9,pudiere,pudieres,pudiere,pudiéremos,pudiereis,pudieren
10,hablare,hablares,hablare,habláremos,hablareis,hablaren
11,quisiere,quisieres,quisiere,quisiéremos,quisiereis,quisieren
12,viniere,vinieres,viniere,viniéremos,viniereis,vinieren
13,comiere,comieres,comiere,comiéremos,comiereis,comieren
14,supiere,supieres,supiere,supiéremos,supiereis,supieren
15,pusiere,pusieres,pusiere,pusiéremos,pusiereis,pusieren
16,saliere,salieres,saliere,saliéremos,saliereis,salieren
17,leyere,leyeres,leyere,leyéremos,leyereis,leyeren
18,durmiere,durmieres,durmiere,durmiéremos,durmiereis,durmieren
19,volviere,volvieres,volviere,volviéremos,volviereis,volvieren
20,pidiere,pidieres,pidiere,pidiéremos,pidiereis,pidieren
21,viviere,vivieres,viviere,viviéremos,viviereis,vivieren
22,trajere,trajeres,trajere,trajéremos,trajereis,trajeren
23,llevare,llevares,llevare,lleváremos,llevareis,llevaren
24,jugare,jugares,jugare,jugáremos,jugareis,jugaren
25,llegare,llegares,llegare,llegáremos,llegareis,llegaren
26,oyere,oyeres,oyere,oyéremos,oyereis,oyeren
27,tomare,tomares,tomare,tomáremos,tomareis,tomaren
28,empezare,empezares,empezare,empezáremos,empezareis,empezaren
29,conociere,conocieres,conociere,conociéremos,conociereis,conocieren
30,siguiere,siguieres,siguiere,siguiéremos,siguiereis,siguieren
31,escribiere,escribieres,escribiere,escribiéremos,escribiereis,escribieren
32,comprare,comprares,comprare,compráremos,comprareis,compraren
33,sintiere,sintieres,sintiere,sintiéremos,sintiereis,sintieren
34,pensare,pensares,pensare,pensáremos,pensareis,pensaren
35,bebiere,bebieres,bebiere,bebiéremos,bebiereis,bebieren
36,abriere,abrieres,abriere,abriéremos,abriereis,abrieren
37,gustare,gustares,gustare,gustáremos,gustareis,gustaren
38,quejare,quejares,quejare,quejáremos,quejareis,quejaren
39,cayere,cayeres,cayere,cayéremos,cayereis,cayeren
40,cerrare,cerrares,cerrare,cerráremos,cerrareis,cerraren
41,encontrare,encontrares,encontrare,encontráremos,encontrareis,encontraren
42,creyere,creyeres,creyere,creyéremos,creyereis,creyeren
43,perdiere,perdieres,perdiere,perdiéremos,perdiereis,perdieren
44,prefiriere,prefirieres,prefiriere,prefiriéremos,prefiriereis,prefirieren
45,quedare,quedares,quedare,quedáremos,quedareis,quedaren
46,muriere,murieres,muriere,muriéremos,muriereis,murieren
47,sirviere,sirvieres,sirviere,sirviéremos,sirviereis,sirvieren
48,buscare,buscares,buscare,buscáremos,buscareis,buscaren
49,trabajare,trabajares,trabajare,trabajáremos,trabajareis,trabajaren
50,estudiare,estudiares,estudiare,estudiáremos,estudiareis,estudiaren
51,sentare,sentares,sentare,sentáremos,sentareis,sentaren
52,comenzare,comenzares,comenzare,comenzáremos,comenzareis,comenzaren
53,condujere,condujeres,condujere,condujéremos,condujereis,condujeren
54,fuere,fueres,fuere,fuéremos,fuereis,fueren
55,sacare,sacares,sacare,sacáremos,sacareis,sacaren
56,aprendiere,aprendieres,aprendiere,aprendiéremos,aprendiereis,aprendieren
57,limpiare,limpiares,limpiare,limpiáremos,limpiareis,limpiaren
58,llamare,llamares,llamare,llamáremos,llamareis,llamaren
59,pagare,pagares,pagare,pagáremos,pagareis,pagaren
60,corriere,corrieres,corriere,corriéremos,corriereis,corrieren
61,bailare,bailares,bailare,bailáremos,bailareis,bailaren
62,terminare,terminares,terminare,termináremos,terminareis,terminaren
63,pasare,pasares,pasare,pasáremos,pasareis,pasaren
64,dejare,dejares,dejare,dejáremos,dejareis,dejaren
65,anduviere,anduvieres,anduviere,anduviéremos,anduviereis,anduvieren
66,entendiere,entendieres,entendiere,entendiéremos,entendiereis,entendieren
67,vistiere,vistieres,vistiere,vistiéremos,vistiereis,vistieren
68,visitare,visitares,visitare,visitáremos,visitareis,visitaren
69,almorzare,almorzares,almorzare,almorzáremos,almorzareis,almorzaren
70,lloviere,llovieres,lloviere,lloviéremos,lloviereis,llovieren
71,divirtiere,divirtieres,divirtiere,divirtiéremos,divirtiereis,divirtieren
72,consiguiere,consiguieres,consiguiere,consiguiéremos,consiguiereis,consiguieren
73,repitiere,repitieres,repitiere,repitiéremos,repitiereis,repitieren
74,caminare,caminares,caminare,camináremos,caminareis,caminaren
75,esperare,esperares,esperare,esperáremos,esperareis,esperaren
76,cambiare,cambiares,cambiare,cambiáremos,cambiareis,cambiaren
77,eligiere,eligieres,eligiere,eligiéremos,eligiereis,eligieren
78,tocare,tocares,tocare,tocáremos,tocareis,tocaren
79,mirare,mirares,mirare,miráremos,mirareis,miraren
80,cupiere,cupieres,cupiere,cupiéremos,cupiereis,cupieren
81,debiere,debieres,debiere,debiéremos,debiereis,debieren
82,recibiere,recibieres,recibiere,recibiéremos,recibiereis,recibieren
83,acostare,acostares,acostare,acostáremos,acostareis,acostaren
84,levantare,levantares,levantare,levantáremos,levantareis,levantaren
85,moviere,movieres,moviere,moviéremos,moviereis,movieren
86,cantare,cantares,cantare,cantáremos,cantareis,cantaren
87,ayudare,ayudares,ayudare,ayudáremos,ayudareis,ayudaren
88,contare,contares,contare,contáremos,contareis,contaren
89,vendiere,vendieres,vendiere,vendiéremos,vendiereis,vendieren
90,hirviere,hirvieres,hirviere,hirviéremos,hirviereis,hirvieren
91,ganare,ganares,ganare,ganáremos,ganareis,ganaren
92,viajare,viajares,viajare,viajáremos,viajareis,viajaren
93,escuchare,escuchares,escuchare,escucháremos,escuchareis,escucharen
94,cogiere,cogieres,cogiere,cogiéremos,cogiereis,cogieren
95,necesitare,necesitares,necesitare,necesitáremos,necesitareis,necesitaren
