,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
0,iré,irás,irá,iremos,iréis,irán
1,seré,serás,será,seremos,seréis,serán
2,tendré,tendrás,tendrá,tendremos,tendréis,tendrán
3,haré,harás,hará,haremos,haréis,harán
4,estaré,estarás,estará,estaremos,estaréis,estarán
5,diré,dirás,dirá,diremos,diréis,dirán
6,veré,verás,verá,veremos,veréis,verán
7,habré,habrás,habrá,habremos,habréis,habrán
8,daré,darás,dará,daremos,daréis,darán
9,podré,podrás,podrá,podremos,podréis,podrán
10,hablaré,hablarás,hablará,hablaremos,hablaréis,hablarán
11,querré,querrás,querrá,querremos,querréis,querrán
12,vendré,vendrás,vendrá,vendremos,vendréis,vendrán
13,comeré,comerás,comerá,comeremos,comeréis,comerán
14,sabré,sabrás,sabrá,sabremos,sabréis,sabrán
15,pondré,pondrás,pondrá,pondremos,pondréis,pondrán
16,saldré,saldrás,saldrá,saldremos,saldréis,saldrán
17,leeré,leerás,leerá,leeremos,leeréis,leerán
18,dormiré,dormirás,dormirá,dormiremos,dormiréis,dormirán
19,volveré,volverás,volverá,volveremos,volveréis,volverán
20,pediré,pedirás,pedirá,pediremos,pediréis,pedirán
21,viviré,vivirás,vivirá,viviremos,viviréis,vivirán
22,traeré,traerás,traerá,traeremos,traeréis,traerán
23,llevaré,llevarás,llevará,llevaremos,llevaréis,llevarán
24,jugaré,jugarás,jugará,jugaremos,jugaréis,jugarán
25,llegaré,llegarás,llegará,llegaremos,llegaréis,llegarán
26,oiré,oirás,oirá,oiremos,oiréis,oirán
27,tomaré,tomarás,tomará,tomaremos,tomaréis,tomarán
28,empezaré,empezarás,empezará,empezaremos,empezaréis,empezarán
29,conoceré,conocerás,conocerá,conoceremos,conoceréis,conocerán
30,seguiré,seguirás,seguirá,seguiremos,seguiréis,seguirán
31,escribiré,escribirás,escribirá,escribiremos,escribiréis,escribirán
32,compraré,comprarás,comprará,compraremos,compraréis,comprarán
33,sentiré,sentirás,sentirá,sentiremos,sentiréis,sentirán
34,pensaré,pensarás,pensará,pensaremos,pensaréis,pensarán
35,beberé,beberás,beberá,beberemos,beberéis,beberán
36,abriré,abrirás,abrirá,abriremos,abriréis,abrirán
37,gustaré,gustarás,gustará,gustaremos,gustaréis,gustarán
38,quejaré,quejarás,quejará,quejaremos,quejaréis,quejarán
39,caeré,caerás,caerá,caeremos,caeréis,caerán
40,cerraré,cerrarás,cerrará,cerraremos,cerraréis,cerrarán
41,encontraré,encontrarás,encontrará,encontraremos,encontraréis,encontrarán
42,creeré,creerás,creerá,creeremos,creeréis,creerán
43,perderé,perderás,perderá,perderemos,perderéis,perderán
44,preferiré,preferirás,preferirá,preferiremos,preferiréis,preferirán
45,quedaré,quedarás,quedará,quedaremos,quedaréis,quedarán
46,moriré,morirás,morirá,moriremos,moriréis,morirán
47,serviré,servirás,servirá,serviremos,serviréis,servirán
48,buscaré,buscarás,buscará,buscaremos,buscaréis,buscarán
49,trabajaré,trabajarás,trabajará,trabajaremos,trabajaréis,trabajarán
50,estudiaré,estudiarás,estudiará,estudiaremos,estudiaréis,estudiarán
51,sentaré,sentarás,sentará,sentaremos,sentaréis,sentarán
52,comenzaré,comenzarás,comenzará,comenzaremos,comenzaréis,comenzarán
53,conduciré,conducirás,conducirá,conduciremos,conduciréis,conducirán
54,iré,irás,irá,iremos,iréis,irán
55,sacaré,sacarás,sacará,sacaremos,sacaréis,sacarán
56,aprenderé,aprenderás,aprenderá,aprenderemos,aprenderéis,aprenderán
57,limpiaré,limpiarás,limpiará,limpiaremos,limpiaréis,limpiarán
58,llamaré,llamarás,llamará,llamaremos,llamaréis,llamarán
59,pagaré,pagarás,pagará,pagaremos,pagaréis,pagarán
60,correré,correrás,correrá,correremos,correréis,correrán
61,bailaré,bailarás,bailará,bailaremos,bailaréis,bailarán
62,terminaré,terminarás,terminará,terminaremos,terminaréis,terminarán
63,pasaré,pasarás,pasará,pasaremos,pasaréis,pasarán
64,dejaré,dejarás,dejará,dejaremos,dejaréis,dejarán
65,andaré,andarás,andará,andaremos,andaréis,andarán
66,entenderé,entenderás,entenderá,entenderemos,entenderéis,entenderán
67,vestiré,vestirás,vestirá,vestiremos,vestiréis,vestirán
68,visitaré,visitarás,visitará,visitaremos,visitaréis,visitarán
69,almorzaré,almorzarás,almorzará,almorzaremos,almorzaréis,almorzarán
70,lloveré,lloverás,lloverá,lloveremos,lloveréis,lloverán
71,divertiré,divertirás,divertirá,divertiremos,divertiréis,divertirán
72,conseguiré,conseguirás,conseguirá,conseguiremos,conseguiréis,conseguirán
73,repetiré,repetirás,repetirá,repetiremos,repetiréis,repetirán
74,caminaré,caminarás,caminará,caminaremos,caminaréis,caminarán
75,esperaré,esperarás,esperará,esperaremos,esperaréis,esperarán
76,cambiaré,cambiarás,cambiará,cambiaremos,cambiaréis,cambiarán
77,elegiré,elegirás,elegirá,elegiremos,elegiréis,elegirán
78,tocaré,tocarás,tocará,tocaremos,tocaréis,tocarán
79,miraré,mirarás,mirará,miraremos,miraréis,mirarán
80,cabré,cabrás,cabrá,cabremos,cabréis,cabrán
81,deberé,deberás,deberá,deberemos,deberéis,deberán
82,recibiré,recibirás,recibirá,recibiremos,recibiréis,recibirán
